ICD_Code,ICD_Group,Name
N440,N,Torsion of testis
N45,N,Orchitis and epididymitis
N46,N,Male infertility
N460,N,Azoospermia
N4602,N,Azoospermia due to extratesticular causes
N461,N,Oligospermia
N4612,N,Oligospermia due to extratesticular causes
N47,N,Disorders of prepuce
N48,N,Other disorders of penis
N482,N,Other inflammatory disorders of penis
N483,N,Priapism
N488,N,Other specified disorders of penis
N49,N,"Inflammatory disorders of male genital organs, NEC"
N50,N,Other and unspecified disorders of male genital organs
N508,N,Other specified disorders of male genital organs
N5081,N,Testicular pain
N52,N,Male erectile dysfunction
N520,N,Vasculogenic erectile dysfunction
N523,N,Postprocedural erectile dysfunction
N53,N,Other male sexual dysfunction
N531,N,Ejaculatory dysfunction
N60,N,Benign mammary dysplasia
N600,N,Solitary cyst of breast
N601,N,Diffuse cystic mastopathy
N602,N,Fibroadenosis of breast
N603,N,Fibrosclerosis of breast
N604,N,Mammary duct ectasia
N608,N,Other benign mammary dysplasias
N609,N,Unspecified benign mammary dysplasia
N61,N,Inflammatory disorders of breast
N612,N,Granulomatous mastitis
N63,N,Unspecified lump in breast
N631,N,Unspecified lump in the right breast
N632,N,Unspecified lump in the left breast
N633,N,Unspecified lump in axillary tail
N634,N,"Unspecified lump in breast, subareolar"
N64,N,Other disorders of breast
N645,N,Other signs and symptoms in breast
N648,N,Other specified disorders of breast
N65,N,Deformity and disproportion of reconstructed breast
N70,N,Salpingitis and oophoritis
N700,N,Acute salpingitis and oophoritis
N701,N,Chronic salpingitis and oophoritis
N709,N,"Salpingitis and oophoritis, unspecified"
N71,N,"Inflammatory disease of uterus, except cervix"
N73,N,Other female pelvic inflammatory diseases
N75,N,Diseases of Bartholin's gland
N76,N,Other inflammation of vagina and vulva
N768,N,Other specified inflammation of vagina and vulva
N77,N,Vulvovaginal ulceration and inflam in diseases classd elswh
N80,N,Endometriosis
N800,N,Endometriosis of uterus
N801,N,Endometriosis of ovary
N8010,N,"Endometriosis of ovary, unspecified depth"
N8011,N,Superficial endometriosis of the ovary
N8012,N,Deep endometriosis of ovary
N802,N,Endometriosis of fallopian tube
N8020,N,"Endometriosis of fallopian tube, unspecified depth"
N8021,N,Superficial endometriosis of fallopian tube
N8022,N,Deep endometriosis of the fallopian tube
N803,N,Endometriosis of pelvic peritoneum
N8031,N,Endometriosis of the anterior cul-de-sac
N8032,N,Endometriosis of the posterior cul-de-sac
N8033,N,Superficial endometriosis of the pelvic sidewall
N8034,N,Deep endometriosis of the pelvic sidewall
N8035,N,"Endometriosis of the pelvic sidewall, unspecified depth"
N8036,N,Superficial endometriosis of the pelvic brim
N8037,N,Deep endometriosis of the pelvic brim
N8038,N,"Endometriosis of the pelvic brim, unspecified depth"
N803A,N,Superficial endometriosis of the uterosacral ligament(s)
N803B,N,Deep endometriosis of the uterosacral ligament(s)
N803C,N,"Endometriosis of the uterosacral ligament(s), unsp depth"
N8039,N,Endometriosis of other pelvic peritoneum
N804,N,Endometriosis of rectovaginal septum and vagina
N805,N,Endometriosis of intestine
N8051,N,Endometriosis of the rectum
N8052,N,Endometriosis of the sigmoid colon
N8053,N,Endometriosis of the cecum
N8054,N,Endometriosis of the appendix
N8055,N,Endometriosis of other parts of the colon
N8056,N,Endometriosis of the small intestine
N80A,N,Endometriosis of bladder and ureters
N80A4,N,Superficial endometriosis of ureter
N80A5,N,Deep endometriosis of ureter
N80A6,N,"Endometriosis of ureter, unspecified depth"
N80B,N,Endometriosis of cardiothoracic space
N80B3,N,Endometriosis of diaphragm
N80C,N,Endometriosis of the abdomen
N80C1,N,Endometriosis of the anterior abdominal wall
N80D,N,Endometriosis of the pelvic nerves
N81,N,Female genital prolapse
N811,N,Cystocele
N818,N,Other female genital prolapse
N82,N,Fistulae involving female genital tract
N83,N,"Noninflammatory disord of ovary, fallop and broad ligament"
N830,N,Follicular cyst of ovary
N831,N,Corpus luteum cyst
N832,N,Other and unspecified ovarian cysts
N8320,N,Unspecified ovarian cysts
N8329,N,Other ovarian cysts
N833,N,Acquired atrophy of ovary and fallopian tube
N8331,N,Acquired atrophy of ovary
N8332,N,Acquired atrophy of fallopian tube
N8333,N,Acquired atrophy of ovary and fallopian tube
N834,N,Prolapse and hernia of ovary and fallopian tube
N835,N,"Torsion of ovary, ovarian pedicle and fallopian tube"
N8351,N,Torsion of ovary and ovarian pedicle
N8352,N,Torsion of fallopian tube
N84,N,Polyp of female genital tract
N85,N,"Other noninflammatory disorders of uterus, except cervix"
N850,N,Endometrial hyperplasia
N87,N,Dysplasia of cervix uteri
N88,N,Other noninflammatory disorders of cervix uteri
N89,N,Other noninflammatory disorders of vagina
N90,N,Other noninflammatory disorders of vulva and perineum
N906,N,Hypertrophy of vulva
N908,N,Oth noninflammatory disorders of vulva and perineum
N9081,N,Female genital mutilation status
N91,N,"Absent, scanty and rare menstruation"
N92,N,"Excessive, frequent and irregular menstruation"
N93,N,Other abnormal uterine and vaginal bleeding
N94,N,Pain and oth cond assoc w fem gntl org and menstrual cycle
N941,N,Dyspareunia
N948,N,Oth cond assoc w female genital organs and menstrual cycle
N9481,N,Vulvodynia
N95,N,Menopausal and other perimenopausal disorders
N97,N,Female infertility
N98,N,Complications associated with artificial fertilization
N99,N,"Intraop and postproc comp and disorders of GU sys, NEC"
N991,N,Postprocedural urethral stricture
N9911,N,"Postprocedural urethral stricture, male"
N995,N,Complications of stoma of urinary tract
N9951,N,Complication of cystostomy
N9952,N,Complication of incontinent external stoma of urinary tract
N9953,N,Complication of continent stoma of urinary tract
N996,N,Intraop hemor/hemtom of a GU sys org comp a procedure
N997,N,Accidental pnctr & lac of a GU sys org dur proc
N998,N,Oth intraop and postproc comp and disorders of GU sys
N9982,N,Postproc hemorrhage of a GU sys org following a procedure
N9984,N,Postproc hematoma and seroma of a GU sys org fol a procedur
O00,O,Ectopic pregnancy
O000,O,Abdominal pregnancy
O001,O,Tubal pregnancy
O0010,O,Tubal pregnancy without intrauterine pregnancy
O0011,O,Tubal pregnancy with intrauterine pregnancy
O002,O,Ovarian pregnancy
O0020,O,Ovarian pregnancy without intrauterine pregnancy
O0021,O,Ovarian pregnancy with intrauterine pregnancy
O008,O,Other ectopic pregnancy
O009,O,"Ectopic pregnancy, unspecified"
O01,O,Hydatidiform mole
O02,O,Other abnormal products of conception
O028,O,Other specified abnormal products of conception
O03,O,Spontaneous abortion
O033,O,Oth and unsp comp following incomplete spontaneous abortion
O038,O,Oth and unsp comp following complete or unsp spon abortion
O04,O,Complications following (induced) termination of pregnancy
O048,O,(Induced) termination of pregnancy w oth and unsp comp
O07,O,Failed attempted termination of pregnancy
O073,O,Failed attempted term of pregnancy w oth and unsp comp
O08,O,Complications following ectopic and molar pregnancy
O088,O,Other complications following an ectopic and molar pregnanc
O09,O,Supervision of high risk pregnancy
O090,O,Supervision of pregnancy with history of infertility
O091,O,Supervision of pregnancy with history of ectopic pregnancy
O09A,O,Supervision of pregnancy with history of molar pregnancy
O092,O,Suprvsn of pregnancy w poor reprodctv or obstetric history
O0921,O,Supervision of pregnancy with history of pre-term labor
O0929,O,Suprvsn of pregnancy w poor reprodctv or obstetric history
O093,O,Supervision of pregnancy with insufficient antenatal care
O094,O,Supervision of pregnancy with grand multiparity
O095,O,Supervision of elderly primigravida and multigravida
O0951,O,Supervision of elderly primigravida
O0952,O,Supervision of elderly multigravida
O096,O,Supervision of young primigravida and multigravida
O0961,O,Supervision of young primigravida
O0962,O,Supervision of young multigravida
O097,O,Supervision of high risk pregnancy due to social problems
O098,O,Supervision of other high risk pregnancies
O0981,O,Suprvsn of pregnancy resulting from assisted reprodctv tech
O0982,O,Suprvsn of preg w history of in utero proc during prev preg
O0989,O,Supervision of other high risk pregnancies
O099,O,"Supervision of high risk pregnancy, unspecified"
O10,O,Pre-existing hypertension compl preg/chldbrth
O100,O,Pre-existing essential hypertension compl preg/chldbrth
O1001,O,Pre-existing essential hypertension complicating pregnancy
O101,O,Pre-existing hypertensive heart disease compl preg/chldbrth
O1011,O,Pre-existing hypertensive heart disease comp pregnancy
O102,O,Pre-existing hyp chronic kidney disease compl preg/chldbrth
O1021,O,Pre-existing hyp chronic kidney disease comp pregnancy
O103,O,Pre-exist hyp heart and chr kidney dis compl preg/chldbrth
O1031,O,Pre-exist hyp heart and chronic kidney disease comp preg
O104,O,Pre-existing secondary hypertension compl preg/chldbrth
O1041,O,Pre-existing secondary hypertension complicating pregnancy
O109,O,Unsp pre-existing hypertension compl preg/chldbrth
O1091,O,Unspecified pre-existing hypertension complicating pregnanc
O11,O,Pre-existing hypertension with pre-eclampsia
O12,O,Gestational edema and proteinuria without hypertension
O120,O,Gestational edema
O121,O,Gestational proteinuria
O122,O,Gestational edema with proteinuria
O13,O,Gestational hypertension without significant proteinuria
O14,O,Pre-eclampsia
O140,O,Mild to moderate pre-eclampsia
O141,O,Severe pre-eclampsia
O142,O,HELLP syndrome
O149,O,Unspecified pre-eclampsia
O15,O,Eclampsia
O150,O,Eclampsia complicating pregnancy
O16,O,Unspecified maternal hypertension
O20,O,Hemorrhage in early pregnancy
O21,O,Excessive vomiting in pregnancy
O22,O,Venous complications and hemorrhoids in pregnancy
O220,O,Varicose veins of lower extremity in pregnancy
O221,O,Genital varices in pregnancy
O222,O,Superficial thrombophlebitis in pregnancy
O223,O,Deep phlebothrombosis in pregnancy
O224,O,Hemorrhoids in pregnancy
O225,O,Cerebral venous thrombosis in pregnancy
O228,O,Other venous complications in pregnancy
O228X,O,Other venous complications in pregnancy
O229,O,"Venous complication in pregnancy, unspecified"
O23,O,Infections of genitourinary tract in pregnancy
O230,O,Infections of kidney in pregnancy
O231,O,Infections of bladder in pregnancy
O232,O,Infections of urethra in pregnancy
O233,O,Infections of other parts of urinary tract in pregnancy
O234,O,Unspecified infection of urinary tract in pregnancy
O235,O,Infections of the genital tract in pregnancy
O2351,O,Infection of cervix in pregnancy
O2352,O,Salpingo-oophoritis in pregnancy
O2359,O,Infection of other part of genital tract in pregnancy
O239,O,Unspecified genitourinary tract infection in pregnancy
O24,O,"Diabetes in pregnancy, childbirth, and the puerperium"
O240,O,"Pre-exist type 1 diabetes, in preg, chldbrth and the puerp"
O2401,O,"Pre-existing type 1 diabetes mellitus, in pregnancy"
O241,O,"Pre-exist type 2 diabetes, in preg, chldbrth and the puerp"
O2411,O,"Pre-existing type 2 diabetes mellitus, in pregnancy"
O243,O,"Unsp pre-exist diabetes in pregnancy, chldbrth and the puer"
O2431,O,Unspecified pre-existing diabetes mellitus in pregnancy
O244,O,Gestational diabetes mellitus
O2441,O,Gestational diabetes mellitus in pregnancy
O2442,O,Gestational diabetes mellitus in childbirth
O2443,O,Gestational diabetes mellitus in the puerperium
O248,O,"Oth pre-exist diabetes in pregnancy, chldbrth, and the puer"
O2481,O,Other pre-existing diabetes mellitus in pregnancy
O249,O,"Unsp diabetes in pregnancy, childbirth and the puerperium"
O2491,O,Unspecified diabetes mellitus in pregnancy
O25,O,"Malnutrition in pregnancy, childbirth and the puerperium"
O251,O,Malnutrition in pregnancy
O26,O,Maternal care for oth conditions predom related to pregnanc
O260,O,Excessive weight gain in pregnancy
O261,O,Low weight gain in pregnancy
O262,O,Pregnancy care for patient with recurrent pregnancy loss
O263,O,Retained intrauterine contraceptive device in pregnancy
O264,O,Herpes gestationis
O265,O,Maternal hypotension syndrome
O266,O,"Liver & biliary trac disord in preg, chldbrth and the puerp"
O2661,O,Liver and biliary tract disorders in pregnancy
O267,O,"Sublux of symphysis (pubis) in preg, chldbrth and the puerp"
O2671,O,Subluxation of symphysis (pubis) in pregnancy
O268,O,Other specified pregnancy related conditions
O2681,O,Pregnancy related exhaustion and fatigue
O2682,O,Pregnancy related peripheral neuritis
O2683,O,Pregnancy related renal disease
O2684,O,Uterine size-date discrepancy complicating pregnancy
O2685,O,Spotting complicating pregnancy
O2687,O,Cervical shortening
O2689,O,Other specified pregnancy related conditions
O269,O,"Pregnancy related conditions, unspecified"
O28,O,Abnormal findings on antenatal screening of mother
O29,O,Complications of anesthesia during pregnancy
O290,O,Pulmonary complications of anesthesia during pregnancy
O2901,O,Aspiration pneumonitis due to anesthesia during pregnancy
O2902,O,Pressure collapse of lung due to anesthesia during pregnanc
O2909,O,Other pulmonary complications of anesthesia during pregnanc
O291,O,Cardiac complications of anesthesia during pregnancy
O2911,O,Cardiac arrest due to anesthesia during pregnancy
O2912,O,Cardiac failure due to anesthesia during pregnancy
O2919,O,Other cardiac complications of anesthesia during pregnancy
O292,O,Cnsl complications of anesthesia during pregnancy
O2921,O,Cerebral anoxia due to anesthesia during pregnancy
O2929,O,Oth cnsl complications of anesthesia during pregnancy
O293,O,Toxic reaction to local anesthesia during pregnancy
O293X,O,Toxic reaction to local anesthesia during pregnancy
O294,O,Spinal and epidural anesth induced headache during pregnanc
O295,O,Oth comp of spinal and epidural anesthesia during pregnancy
O295X,O,Oth comp of spinal and epidural anesthesia during pregnancy
O296,O,Failed or difficult intubation for anesth during pregnancy
O298,O,Other complications of anesthesia during pregnancy
O298X,O,Other complications of anesthesia during pregnancy
O299,O,Unspecified complication of anesthesia during pregnancy
O30,O,Multiple gestation
O300,O,Twin pregnancy
O3000,O,"Twin pregnancy, unsp num plcnta & amnio sacs"
O3001,O,"Twin pregnancy, monochorionic/monoamniotic"
O3002,O,Conjoined twin pregnancy
O3003,O,"Twin pregnancy, monochorionic/diamniotic"
O3004,O,"Twin pregnancy, dichorionic/diamniotic"
O3009,O,"Twin pregnancy, unable to determine num plcnta & amnio sacs"
O301,O,Triplet pregnancy
O3010,O,"Triplet pregnancy, unsp num plcnta & amnio sacs"
O3011,O,Triplet pregnancy with two or more monochorionic fetuses
O3012,O,Triplet pregnancy with two or more monoamniotic fetuses
O3013,O,"Triplet pregnancy, trichorionic/triamniotic"
O3019,O,"Triplet pregnancy, unable to dtrm num plcnta & amnio sacs"
O302,O,Quadruplet pregnancy
O3020,O,"Quadruplet pregnancy, unsp num plcnta & amnio sacs"
O3021,O,Quadruplet pregnancy with two or more monochorionic fetuses
O3022,O,Quadruplet pregnancy with two or more monoamniotic fetuses
O3023,O,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic"
O3029,O,"Quad pregnancy, unable to determine num plcnta & amnio sacs"
O308,O,Other specified multiple gestation
O3080,O,"Oth multiple gestation, unsp num plcnta & amnio sacs"
O3081,O,Oth multiple gestation w two or more monochorionic fetuses
O3082,O,Oth multiple gestation with two or more monoamniotic fetuse
O3083,O,"Oth mult gest, num of chorions and amnions = num of fetuses"
O3089,O,"Oth multiple gest, unable to dtrm num plcnta & amnio sacs"
O309,O,"Multiple gestation, unspecified"
O31,O,Complications specific to multiple gestation
O310,O,Papyraceous fetus
O3100,O,"Papyraceous fetus, unspecified trimester"
O3101,O,"Papyraceous fetus, first trimester"
O3102,O,"Papyraceous fetus, second trimester"
O3103,O,"Papyraceous fetus, third trimester"
O311,O,Cont pregnancy after spon abortion of one fetus or more
O3110,O,"Cont preg after spon abortion of one fetus or more, unsp tr"
O3111,O,"Cont preg after spon abort of one fetus or more, first tri"
O3112,O,"Cont preg after spon abort of one fetus or more, second tri"
O3113,O,"Cont preg after spon abort of one fetus or more, third tri"
O312,O,Continuing pregnancy after uterin death of one fetus or mor
O3120,O,"Cont preg after uterin death of one fetus or more, unsp tri"
O3121,O,"Cont preg after uterin death of one fetus or more, first tr"
O3122,O,"Cont preg after uterin death of one fetus or more, 2nd tri"
O3123,O,"Cont preg after uterin death of one fetus or more, third tr"
O313,O,Cont preg after elective fetal rdct of one fetus or more
O3130,O,"Cont preg aft elctv fetl rdct of one fetus or more, unsp tr"
O3131,O,"Cont preg aft elctv fetl rdct of one fts or more, first tri"
O3132,O,"Cont preg aft elctv fetal rdct of one fetus or more, 2nd tr"
O3133,O,"Cont preg aft elctv fetl rdct of one fts or more, third tri"
O318,O,Other complications specific to multiple gestation
O318X,O,Other complications specific to multiple gestation
O318X1,O,"Oth comp specific to multiple gestation, first trimester"
O318X2,O,"Oth comp specific to multiple gestation, second trimester"
O318X3,O,"Oth comp specific to multiple gestation, third trimester"
O318X9,O,"Oth comp specific to multiple gestation, unsp trimester"
O32,O,Maternal care for malpresentation of fetus
O320,O,Maternal care for unstable lie
O321,O,Maternal care for breech presentation
O322,O,Maternal care for transverse and oblique lie
O323,O,"Maternal care for face, brow and chin presentation"
O324,O,Maternal care for high head at term
O326,O,Maternal care for compound presentation
O328,O,Maternal care for other malpresentation of fetus
O329,O,"Maternal care for malpresentation of fetus, unspecified"
O33,O,Maternal care for disproportion
O333,O,Matern care for disproprtn due to outlet contrctn of pelvis
O334,O,Matern care for disproprtn of mixed matern and fetal origin
O335,O,Maternal care for disproportion due to unusually large fetu
O336,O,Maternal care for disproportion due to hydrocephalic fetus
O337,O,Maternal care for disproportion due to oth fetal deformitie
O34,O,Maternal care for abnormality of pelvic organs
O340,O,Maternal care for congenital malformation of uterus
O341,O,Maternal care for benign tumor of corpus uteri
O342,O,Maternal care due to uterine scar from previous surgery
O3421,O,Maternal care for scar from previous cesarean delivery
O343,O,Maternal care for cervical incompetence
O344,O,Maternal care for other abnormalities of cervix
O345,O,Maternal care for other abnormalities of gravid uterus
O3451,O,Maternal care for incarceration of gravid uterus
O3452,O,Maternal care for prolapse of gravid uterus
O3453,O,Maternal care for retroversion of gravid uterus
O3459,O,Maternal care for other abnormalities of gravid uterus
O346,O,Maternal care for abnormality of vagina
O347,O,Maternal care for abnormality of vulva and perineum
O348,O,Maternal care for other abnormalities of pelvic organs
O349,O,"Maternal care for abnormality of pelvic organ, unspecified"
O35,O,Maternal care for known or suspected fetal abnlt and damage
O350,O,Maternal care for (suspected) cnsl malformation in fetus
O3500,O,"Mat care (suspected) cnsl malf/damag fts, unspecified"
O3501,O,"Mat care cnsl malf/damag fts, agenesis of corpus callosum"
O3502,O,"Mat care (suspected) cnsl malf/damag fts, anencephaly"
O3503,O,"Mat care cnsl malf/damag fts, choroid plexus cysts"
O3504,O,"Mat care (suspected) cnsl malf/damag fts, encephalocele"
O3505,O,"Mat care (suspected) cnsl malf/damag fts, holoprosenceph"
O3506,O,"Mat care (suspected) cnsl malf/damag fts, hydrocephaly"
O3507,O,"Mat care (suspected) cnsl malf/damag fts, microcephaly"
O3508,O,"Mat care (suspected) cnsl malf/damag fts, spina bifida"
O3509,O,Maternal care for (suspected) other cnsl malf/damag fts
O351,O,Maternal care for chromosomal abnormality in fetus
O3510,O,"Mat care chromosomal abnormality in fetus, unspecified"
O3511,O,"Mat care chromosomal abnormality in fetus, Trisomy 13"
O3512,O,"Mat care chromosomal abnormality in fetus, Trisomy 18"
O3513,O,"Mat care chromosomal abnormality in fetus, Trisomy 21"
O3514,O,"Mat care chromosomal abnormality in fetus, Turner Syndrome"
O3515,O,"Mat care chromosomal abnlt in fetus, sex chromosome abnlt"
O3519,O,"Mat care chromosomal abnlt in fetus, other chromosomal abnl"
O35A,O,"Mat care other fetal abnlt and damage, fetal facial anomal"
O35B,O,"Mat care other fetal abnlt and damage, fetal cardiac anomal"
O35C,O,"Mat care other fetal abnlt and damage, fetal pulm anomal"
O35D,O,"Mat care other fetal abnlt and damage, fetal GI anomalies"
O35E,O,"Mat care other fetal abnlt and damage, fetal GU anomalies"
O35F,O,"Mat care other fetl abnlt and damag, fetl ms anomal of trun"
O35G,O,"Mat care other fetl abnlt and damag, fetl upper extrm anoma"
O35H,O,"Mat care other fetal abnlt and damag, fetal low extrm anoma"
O352,O,Maternal care for (suspected) hereditary disease in fetus
O353,O,Matern care for damage to fetus from viral disease in mothe
O354,O,Maternal care for (suspected) damage to fetus from alcohol
O355,O,Maternal care for (suspected) damage to fetus by drugs
O356,O,Maternal care for (suspected) damage to fetus by radiation
O357,O,Maternal care for damage to fetus by oth medical procedures
O358,O,Maternal care for oth fetal abnormality and damage
O359,O,"Maternal care for fetal abnormality and damage, unsp"
O36,O,Maternal care for other fetal problems
O360,O,Maternal care for rhesus isoimmunization
O3601,O,Maternal care for anti-D [Rh] antibodies
O36011,O,"Maternal care for anti-D [Rh] antibodies, first trimester"
O36012,O,"Maternal care for anti-D [Rh] antibodies, second trimester"
O36013,O,"Maternal care for anti-D [Rh] antibodies, third trimester"
O36019,O,"Maternal care for anti-D antibodies, unspecified trimester"
O3609,O,Maternal care for other rhesus isoimmunization
O36091,O,"Maternal care for oth rhesus isoimmun, first trimester"
O36092,O,"Maternal care for oth rhesus isoimmun, second trimester"
O36093,O,"Maternal care for oth rhesus isoimmun, third trimester"
O36099,O,"Maternal care for oth rhesus isoimmunization, unsp trimeste"
O361,O,Maternal care for other isoimmunization
O3611,O,Maternal care for Anti-A sensitization
O36111,O,"Maternal care for Anti-A sensitization, first trimester"
O36112,O,"Maternal care for Anti-A sensitization, second trimester"
O36113,O,"Maternal care for Anti-A sensitization, third trimester"
O36119,O,"Maternal care for Anti-A sensitization, unsp trimester"
O3619,O,Maternal care for other isoimmunization
O36191,O,"Maternal care for other isoimmunization, first trimester"
O36192,O,"Maternal care for other isoimmunization, second trimester"
O36193,O,"Maternal care for other isoimmunization, third trimester"
O36199,O,"Maternal care for other isoimmunization, unsp trimester"
O362,O,Maternal care for hydrops fetalis
O3620,O,"Maternal care for hydrops fetalis, unspecified trimester"
O3621,O,"Maternal care for hydrops fetalis, first trimester"
O3622,O,"Maternal care for hydrops fetalis, second trimester"
O3623,O,"Maternal care for hydrops fetalis, third trimester"
O364,O,Maternal care for intrauterine death
O365,O,Maternal care for known or suspected poor fetal growth
O3651,O,Maternal care for known or suspected placental insufficienc
O36511,O,"Maternal care for known or susp placntl insuff, first tri"
O36512,O,"Maternal care for known or susp placntl insuff, second tri"
O36513,O,"Maternal care for known or susp placntl insuff, third tri"
O36519,O,"Maternal care for known or susp placntl insuff, unsp tri"
O3659,O,Maternal care for other known or suspected poor fetal growt
O36591,O,"Matern care for oth known or susp poor fetal grth, first tr"
O36592,O,"Matern care for oth known or susp poor fetal grth, 2nd tri"
O36593,O,"Matern care for oth known or susp poor fetal grth, third tr"
O36599,O,"Matern care for oth known or susp poor fetal grth, unsp tri"
O366,O,Maternal care for excessive fetal growth
O3660,O,"Maternal care for excessive fetal growth, unsp trimester"
O3661,O,"Maternal care for excessive fetal growth, first trimester"
O3662,O,"Maternal care for excessive fetal growth, second trimester"
O3663,O,"Maternal care for excessive fetal growth, third trimester"
O367,O,Maternal care for viable fetus in abdominal pregnancy
O3670,O,"Maternal care for viable fetus in abd preg, unsp trimester"
O3671,O,"Maternal care for viable fetus in abd preg, first trimester"
O3672,O,"Maternal care for viable fetus in abd preg, second trimeste"
O3673,O,"Maternal care for viable fetus in abd preg, third trimester"
O368,O,Maternal care for other specified fetal problems
O3680,O,Pregnancy with inconclusive fetal viability
O3681,O,Decreased fetal movements
O36812,O,"Decreased fetal movements, second trimester"
O36813,O,"Decreased fetal movements, third trimester"
O36819,O,"Decreased fetal movements, unspecified trimester"
O3682,O,Fetal anemia and thrombocytopenia
O36821,O,"Fetal anemia and thrombocytopenia, first trimester"
O36822,O,"Fetal anemia and thrombocytopenia, second trimester"
O36823,O,"Fetal anemia and thrombocytopenia, third trimester"
O36829,O,"Fetal anemia and thrombocytopenia, unspecified trimester"
O3683,O,Maternal care for abnlt of the fetal heart rate or rhythm
O36831,O,"Matern care for abnlt of fetal heart rate or rhym, first tr"
O36832,O,"Matern care for abnlt of fetal heart rate or rhym, 2nd tri"
O36833,O,"Matern care for abnlt of fetal heart rate or rhym, third tr"
O36839,O,"Matern care for abnlt of fetal heart rate or rhym, unsp tri"
O3689,O,Maternal care for other specified fetal problems
O36891,O,"Maternal care for oth fetal problems, first trimester"
O36892,O,"Maternal care for oth fetal problems, second trimester"
O36893,O,"Maternal care for oth fetal problems, third trimester"
O36899,O,"Maternal care for oth fetal problems, unspecified trimester"
O369,O,"Maternal care for fetal problem, unspecified"
O3690,O,"Maternal care for fetal problem, unsp, unspecified trimeste"
O3691,O,"Maternal care for fetal problem, unsp, first trimester"
O3692,O,"Maternal care for fetal problem, unsp, second trimester"
O3693,O,"Maternal care for fetal problem, unsp, third trimester"
O40,O,Polyhydramnios
O401,O,"Polyhydramnios, first trimester"
O402,O,"Polyhydramnios, second trimester"
O403,O,"Polyhydramnios, third trimester"
O409,O,"Polyhydramnios, unspecified trimester"
O41,O,Other disorders of amniotic fluid and membranes
O410,O,Oligohydramnios
O4100,O,"Oligohydramnios, unspecified trimester"
O4101,O,"Oligohydramnios, first trimester"
O4102,O,"Oligohydramnios, second trimester"
O4103,O,"Oligohydramnios, third trimester"
O411,O,Infection of amniotic sac and membranes
O4110,O,"Infection of amniotic sac and membranes, unspecified"
O41101,O,"Infct of amniotic sac and membranes, unsp, first trimester"
O41102,O,"Infct of amniotic sac and membranes, unsp, second trimester"
O41103,O,"Infct of amniotic sac and membranes, unsp, third trimester"
O41109,O,"Infct of amniotic sac and membranes, unsp, unsp trimester"
O4112,O,Chorioamnionitis
O41121,O,"Chorioamnionitis, first trimester"
O41122,O,"Chorioamnionitis, second trimester"
O41123,O,"Chorioamnionitis, third trimester"
O41129,O,"Chorioamnionitis, unspecified trimester"
O4114,O,Placentitis
O41141,O,"Placentitis, first trimester"
O41142,O,"Placentitis, second trimester"
O41143,O,"Placentitis, third trimester"
O41149,O,"Placentitis, unspecified trimester"
O418,O,Other specified disorders of amniotic fluid and membranes
O418X,O,Other specified disorders of amniotic fluid and membranes
O418X1,O,"Oth disrd of amniotic fluid and membranes, first trimester"
O418X2,O,"Oth disrd of amniotic fluid and membranes, second trimester"
O418X3,O,"Oth disrd of amniotic fluid and membranes, third trimester"
O418X9,O,"Oth disrd of amniotic fluid and membranes, unsp trimester"
O419,O,"Disorder of amniotic fluid and membranes, unspecified"
O4190,O,"Disorder of amniotic fluid and membrns, unsp, unsp trimeste"
O4191,O,"Disorder of amniotic fluid and membrns, unsp, first tri"
O4192,O,"Disorder of amniotic fluid and membrns, unsp, second tri"
O4193,O,"Disorder of amniotic fluid and membrns, unsp, third tri"
O42,O,Premature rupture of membranes
O420,O,"Premature ROM, onset of labor within 24 hours of rupture"
O4201,O,"Preterm prem ROM, onset labor within 24 hours of rupture"
O421,O,"Premature ROM, onset labor more than 24 hours fol rupture"
O4211,O,"Preterm premature ROM, onset labor > 24 hours fol rupture"
O429,O,"Premature ROM, unsp time betw rupture and onset of labor"
O4291,O,"Preterm prem ROM, unsp time betw rupture and onset labor"
O43,O,Placental disorders
O430,O,Placental transfusion syndromes
O4301,O,Fetomaternal placental transfusion syndrome
O4302,O,Fetus-to-fetus placental transfusion syndrome
O431,O,Malformation of placenta
O4310,O,"Malformation of placenta, unspecified"
O4311,O,Circumvallate placenta
O4312,O,Velamentous insertion of umbilical cord
O4319,O,Other malformation of placenta
O432,O,Morbidly adherent placenta
O4321,O,Placenta accreta
O4322,O,Placenta increta
O4323,O,Placenta percreta
O438,O,Other placental disorders
O4381,O,Placental infarction
O4389,O,Other placental disorders
O439,O,Unspecified placental disorder
O44,O,Placenta previa
O440,O,Complete placenta previa NOS or without hemorrhage
O441,O,Complete placenta previa with hemorrhage
O442,O,Partial placenta previa without hemorrhage
O443,O,Partial placenta previa with hemorrhage
O444,O,Low lying placenta NOS or without hemorrhage
O445,O,Low lying placenta with hemorrhage
O45,O,Premature separation of placenta [abruptio placentae]
O450,O,Premature separation of placenta with coagulation defect
O4500,O,"Premature separation of placenta w coagulation defect, unsp"
O4501,O,Premature separation of placenta with afibrinogenemia
O4502,O,Premature separation of placenta w dissem intravasc coag
O4509,O,Premature separation of placenta with oth coagulation defec
O458,O,Other premature separation of placenta
O458X,O,Other premature separation of placenta
O459,O,"Premature separation of placenta, unspecified"
O46,O,"Antepartum hemorrhage, not elsewhere classified"
O460,O,Antepartum hemorrhage with coagulation defect
